ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Beat,District,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
11157652,JA522842,11/23/17 15:14,003XX E 47TH ST,ASSAULT,AGGRAVATED: HANDGUN,DEPARTMENT STORE,FALSE,215,2,38,04A,1178967,1873924,2017,41.80934273,-87.619099,"(41.809342727, -87.619098999)"
10805378,JA104278,1/1/17 2:00,046XX S VINCENNES AVE,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,221,2,38,2,1180398,1874151,2017,41.80993288,-87.61384343,"(41.80993288, -87.613843427)"
10809618,JA108518,1/8/17 16:50,018XX E 71ST ST,ASSAULT,SIMPLE,SIDEWALK,FALSE,333,3,43,08A,1190056,1858242,2017,41.76605011,-87.57893184,"(41.766050106, -87.578931841)"
10809677,JA108315,1/8/17 13:29,016XX N WASHTENAW AVE,BATTERY,SIMPLE,STREET,FALSE,1421,14,24,08B,1158117,1910873,2017,41.91118469,-87.69456498,"(41.91118469, -87.694564983)"
10810317,JA108580,1/8/17 18:15,022XX N MAPLEWOOD AVE,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,1431,14,22,3,1158946,1914793,2017,41.92192449,-87.69141172,"(41.921924485, -87.691411724)"
10811361,JA110651,1/10/17 12:40,002XX W MONROE ST,THEFT,POCKET-PICKING,RESTAURANT,FALSE,122,1,32,6,1174585,1899875,2017,41.88065311,-87.63439665,"(41.880653112, -87.634396649)"
10811372,JA110632,1/3/17 17:40,004XX S CLINTON ST,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA STATION,FALSE,121,1,28,11,1172799,1898209,2017,41.87612122,-87.64100397,"(41.876121224, -87.641003973)"
10811381,JA110666,1/8/17 19:00,011XX S ASHLAND AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,1231,12,28,7,1165900,1895209,2017,41.86803889,-87.66642017,"(41.868038887, -87.666420169)"
10811385,JA110678,1/10/17 13:43,012XX N MARION CT,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,1424,14,24,11,1163773,1908523,2017,41.90461866,-87.67385314,"(41.904618658, -87.67385314)"
10811407,JA110660,1/10/17 13:00,002XX W MONROE ST,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,FALSE,122,1,32,11,1174585,1899875,2017,41.88065311,-87.63439665,"(41.880653112, -87.634396649)"
10811432,JA110623,1/10/17 13:55,015XX E 53RD ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,234,2,41,6,1187590,1870433,2017,41.79956218,-87.58758291,"(41.799562177, -87.587582914)"
10811551,JA109237,1/9/17 10:30,007XX S WABASH AVE,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,123,1,32,6,1176908,1896948,2017,41.87256902,-87.62595547,"(41.872569023, -87.625955471)"
10811573,JA110816,1/10/17 15:30,001XX W JACKSON BLVD,ASSAULT,SIMPLE,RESTAURANT,FALSE,122,1,32,08A,1175454,1898968,2017,41.87814479,-87.63123304,"(41.878144785, -87.631233035)"
10811610,JA110960,1/6/17 22:30,038XX S ELLIS AVE,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,212,2,36,14,1182559,1879686,2017,41.82507141,-87.60574538,"(41.825071411, -87.60574538)"
10811663,JA111115,1/7/17 23:30,005XX E 33RD PL,THEFT,$500 AND UNDER,STREET,FALSE,211,2,35,6,1180652,1882807,2017,41.83367977,-87.6126455,"(41.833679765, -87.612645497)"
10811665,JA110953,1/10/17 7:45,011XX E 67TH ST,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,321,3,42,5,1185176,1860816,2017,41.77322946,-87.5967377,"(41.773229456, -87.596737703)"
10811682,JA111122,1/10/17 19:00,007XX W ADAMS ST,THEFT,$500 AND UNDER,APARTMENT,FALSE,121,1,28,6,1171712,1899339,2017,41.87924601,-87.64496175,"(41.879246012, -87.644961751)"
10811704,JA109882,1/8/17 21:00,010XX N WESTERN AVE,THEFT,$500 AND UNDER,STREET,FALSE,1212,12,24,6,1160215,1907035,2017,41.90060978,-87.68696387,"(41.900609783, -87.686963874)"
10811735,JA111145,1/10/17 16:31,025XX W FLOURNOY ST,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),FALSE,1135,11,28,6,1159604,1896950,2017,41.87294826,-87.68948605,"(41.872948257, -87.689486045)"
10811773,JA110965,1/10/17 15:30,040XX S CALUMET AVE,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,213,2,38,5,1179100,1878253,2017,41.82121883,-87.6184791,"(41.821218828, -87.618479096)"
10811774,JA110967,1/10/17 15:30,040XX S CALUMET AVE,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,213,2,38,5,1179100,1878253,2017,41.82121883,-87.6184791,"(41.821218828, -87.618479096)"
10811779,JA111069,1/10/17 18:24,004XX S PLYMOUTH CT,BATTERY,PRO EMP HANDS NO/MIN INJURY,LIBRARY,TRUE,113,1,32,08B,1176141,1898406,2017,41.87658717,-87.6287275,"(41.876587174, -87.628727499)"
10811796,JA111108,1/10/17 19:08,021XX E 70TH ST,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,TRUE,331,3,43,15,1191893,1858977,2017,41.76802259,-87.57217487,"(41.768022593, -87.572174872)"
10811817,JA111071,1/10/17 11:15,062XX S STONY ISLAND AVE,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,"SCHOOL, PUBLIC, BUILDING",FALSE,314,3,42,20,1187940,1864073,2017,41.78210152,-87.586502,"(41.78210152, -87.586502002)"
10811828,JA111181,1/10/17 11:00,015XX E 67TH PL,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,332,3,43,5,1187619,1860539,2017,41.77241158,-87.58779118,"(41.772411578, -87.587791183)"
10811896,JA111323,1/10/17 14:00,035XX S RHODES AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,212,2,35,11,1180172,1881335,2017,41.82965153,-87.6144519,"(41.829651528, -87.614451899)"
10811914,JA111365,1/10/17 21:40,026XX N WESTERN AVE,THEFT,$500 AND UNDER,STREET,FALSE,1411,14,22,6,1159915,1917314,2017,41.92882233,-87.68778161,"(41.928822325, -87.687781609)"
10811923,JA111302,1/10/17 22:00,016XX E 55TH ST,BATTERY,SIMPLE,APARTMENT,FALSE,234,2,41,08B,1187898,1868845,2017,41.79519725,-87.58650401,"(41.795197252, -87.58650401)"
10811944,JA111291,1/10/17 13:00,001XX N HOYNE AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,1223,12,28,14,1162385,1901071,2017,41.88419895,-87.67916036,"(41.884198945, -87.679160361)"
10811969,JA111404,1/10/17 2:00,015XX W DIVISION ST,ROBBERY,STRONGARM - NO WEAPON,BAR OR TAVERN,FALSE,1213,12,24,3,1165679,1908077,2017,41.90335438,-87.66686461,"(41.903354381, -87.666864606)"
10811991,JA110154,1/10/17 5:40,071XX S JEFFERY BLVD,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,STREET,FALSE,333,3,43,3,1190776,1858184,2017,41.76587359,-87.57629471,"(41.76587359, -87.576294705)"
